objid,ra,dec,z,zErr,psfMag_g,psfMag_r,psfMagErr_g,psfMagErr_r
1237665567679643859,212.10773,23.669657,0.066544,1.52944E-5,18.989408,18.14695,0.015839,0.01516
1237667912751513768,212.06538,23.415308,0.067614,2.092526E-5,19.061213,18.598568,0.018672,0.015665
1237665567142838473,212.08896,23.344392,0.069416,3.071967E-5,19.649532,18.888447,0.021432,0.016384
1237665567679709398,212.1648,23.66678,0.067576,1.509797E-5,18.314074,17.421322,0.012979,0.011284
1237665567142838497,212.09567,23.295436,0.0694,1.716317E-5,19.784414,19.301292,0.021925,0.017651
1237665567679643819,212.04248,23.642025,0.158457,3.40742E-5,19.826736,18.737911,0.018778,0.016027
1237665567142838318,212.10389,23.317112,0.066879,1.764815E-5,18.378241,17.560219,0.018771,0.014646
1237667912214708437,212.14664,23.105846,0.08863,5.642671E-6,18.883169,18.847942,0.025333,0.021441
1237665567142772947,212.06063,23.386389,0.068975,1.5689E-5,18.463011,17.68977,0.017414,0.013494
1237667912751513775,212.10792,23.523927,0.137999,2.411603E-5,19.529358,18.935654,0.020022,0.016407
1237667912214708425,212.13781,23.142572,0.066524,2.810356E-5,19.308453,18.793173,0.026939,0.021361
1237665567142772942,212.04022,23.299211,0.067467,1.992199E-5,19.554337,18.770897,0.019679,0.014926
1237665567142838444,212.09601,23.361297,0.066728,1.346392E-5,17.868664,17.067736,0.020206,0.01665
1237667912751579256,212.13838,23.411419,0.066288,1.684347E-5,18.928349,18.486723,0.023089,0.014586
1237665567142838494,212.10888,23.377451,0.06914,2.218258E-5,20.088047,19.469027,0.023659,0.018593
1237667911677837558,212.09127,22.719441,0.204496,3.131955E-5,19.954142,19.2097,0.017801,0.018231
1237667912214708516,212.17747,22.994366,0.418773,1.150565E-4,21.821754,20.255953,0.065815,0.028759
1237665566606033031,212.18716,22.929947,0.158529,3.434331E-5,20.091267,19.051199,0.023732,0.01558
